Observation ID,Frequency,Width,Amplitude
1130360103,6.668,2.9748878222580317,3.365721516886621
1130360103,6.668,2.9749296966795837,3.365706595258941
1130360103,6.668,2.975024633277909,3.3657770015896045
1130360109,4.000,0.8240292863959157,0.21754160584723747
1130360205,4.522,0.14436667512225304,0.27008523648051436
1130360205,4.964,0.3421388747861916,0.18574047947043604
1130360205,5.132,0.1190154827654564,0.30692516624625077
1130360217,4.999,0.146202009733383,0.5263505225406335
1130360217,5.290,0.21847699852552674,0.33475637797148955
1130360224,5.701,0.15511978995099826,0.136272982819961
1130360224,6.064,0.2855307553310573,0.20297187150693916
1130360233,5.469,0.12652380687702866,0.8020057787522864
1130360233,5.469,0.12652567320481575,0.8019993809969024
1130360234,5.030,0.12405839419544137,0.15205043761747414
1130360277,5.036,0.11753705029577571,0.7234810851496937
1130360280,6.711,0.4780263385814741,0.1328827646332028
1130360280,6.711,0.4779965721485308,0.13288581348227235
1130360282,4.385,0.14582506822358007,0.1724256373916066
1050360111,9.066,0.7977968221612666,1.775667171370672
1050360118,5.101,0.10850840760797098,0.35784061484219604
1130360102,4.518,1.2858478774810351,0.43918556679235865
1130360102,4.518,1.286001152161933,0.43917524299870403
1130360102,4.518,1.285869471263466,0.4391820018177567
1130360107,4.585,0.6916167923704966,19.0955337998423
1130360107,4.585,0.6916161964200058,19.095539536814872
1130360107,4.585,0.6916172091048448,19.095529751774762
1130360107,4.585,0.6916164449972882,19.095537146766638
1130360107,4.585,0.6916172284723706,19.095529603914414
1130360121,5.044,0.10171619307248513,0.3186983846506768
1130360139,4.312,0.39456047584177434,0.3726560668144422
1130360146,4.571,0.11007009216597634,0.3854334034608982
1130360146,5.886,0.1307026327552139,0.27115823955644247
1130360147,8.918,0.24562677914955375,0.29343388912804746
1130360173,4.466,0.413243755278248,0.987308602354742
1130360173,4.466,0.4134702538610112,0.9870868234988834
1130360173,5.733,0.6047540745470608,0.2842848750365493
1130360173,5.733,0.6044147582236374,0.28433984856050665
1130360179,4.289,0.3551711619249369,0.9758380051372573
1130360181,5.464,0.14268167479279584,0.21447164158486268
1130360181,5.464,0.14260018630504337,0.21453556993268694
1130360181,7.082,0.33526033558640334,0.13637200427081805
1130360188,4.975,0.2353679547751113,0.30341882218701116
1130360188,4.974,0.2353696946745414,0.30341783338388506
1130360193,4.672,0.09450577744857964,0.5146756531149703
1130360193,4.672,0.09450928299299728,0.5146634061307
1130360215,6.463,1.9752268296375732,0.14583962064572506
1130360225,4.977,0.11799275968947116,0.40802654763081986
1130360231,4.519,0.5591055663070574,0.21936771782420192
1130360231,4.520,0.5591618702787353,0.21935938967348678
1130360260,6.648,0.3053514242015509,0.44768337750203363
1130360262,6.080,0.177286539387441,0.6377534704002277
1130360262,6.080,0.17729943710167909,0.6377316934891719
1130360283,5.688,0.2965227421417988,0.20601977900838514
1130360283,4.937,0.1280579775620588,0.24219321049043344
1130360283,5.581,0.15655900944418819,0.26899563169044105
1130360283,5.688,0.29652973800810256,0.20602213932926017
1050360107,4.050,1.1887843494905619,15.01121777470997
1050360107,4.050,1.1887724050069128,15.011183126154956
1050360107,4.050,1.1887659775044692,15.011163619657333
1130360108,5.073,2.2120595394614924,9.555546144911958
1130360108,5.073,2.2120465647262666,9.55554949812078
1130360108,5.073,2.2120900976612115,9.555540498817003
1130360108,5.073,2.2120809401552424,9.55554314466987
1130360108,5.073,2.211915506084346,9.555590627746861
1130360110,5.895,1.79093977565503,3.0636691325420804
1130360110,5.895,1.7909041381142532,3.0636717458193856
1130360110,5.895,1.790702522825089,3.063686567679703
1130360110,5.895,1.7907240715906447,3.063684983049141
1130360110,5.895,1.7909228387991665,3.0636703697601706
1130360113,4.637,1.415285825978249,9.263056172150463
1130360113,4.637,1.4152976370660573,9.263041952224688
1130360113,4.637,1.4152895687569889,9.263051663643896
1130360113,4.637,1.4153051132945702,9.2630329490041
1130360113,4.637,1.415288908442381,9.263052458240356
1130360115,4.000,0.5468809118386805,6.660115135726214
1130360115,4.000,0.546880697339821,6.6601164876924965
1130360115,7.198,0.7557006850363703,2.396388871898277
1130360127,5.318,0.3127282143394542,0.109396666481487
1130360127,5.318,0.31270599034212343,0.10939992048596744
1130360131,6.785,0.22513706950627296,0.13815185455688045
